Stock,Operator(s),Number of Carriages,Max Speed (MPH),Max Speed (km/h),Carriage Weight (1 carriage) (long tons),Mass (Long tons),Mass {Short Tons),Braking Force Modifier,Max Braking Force (Tons),Power (HP),Power (kW)
1972 Stock (B),LU,3,45,72,26,78,87,3,29,475,354
1972 Stock (B),LU,4,45,72,26,104,116,3,39,475,354
1973 Stock (P),LU,3,45,72,25,75,84,3,28,475,354
1992 Stock (Ct),LU,2,62,100,21,42,47,2.5,19,461,344
1995 Stock (N),LU,3,45,72,21,63,71,2.5,28,461,344
1996 Stock (J),LU,3,62,100,25,75,84,2,42,461,344
1996 Stock (J),LU,4,62,100,25,100,112,2,56,461,344
2009 Stock (V),LU,4,50,80,26,104,116,1.5,78,475,354
90+MK3+DVT,LE,9,100,161,33,297,333,3,40,"5,000",3728
90+MK3+DVT,LE,9,100,161,33,297,333,3,40,"5,000",3728
91+MK4+DVT,GR,9,125,201,40,360,403,5,81,"6,480",4832
"C Stock (Ci, H&C)",LU,4,40,64,32,128,143,3,48,670,500
Class 313/0,GN,3,75,121,31,93,104,3,35,880,656
Class 313/1,GN,3,75,121,31,93,104,3,35,880,656
Class 313/1,SN,3,75,121,31,93,104,3,35,880,656
Class 313/2,SN,3,75,121,31,93,104,3,35,880,656
Class 314/2,SR,3,75,121,33,99,111,3,37,880,656
Class 315/8,LO,3,75,121,33,99,111,3,37,880,656
Class 317/1,GN,4,100,161,29,116,130,4,32,"1,328",990
Class 317/5,LE,4,100,161,29,116,130,4,32,"1,328",990
Class 317/6,LE,4,100,161,29,116,130,4,32,"1,328",990
Class 317/7,LO,4,100,161,29,116,130,4,32,"1,328",990
Class 317/8,LO,4,100,161,29,116,130,4,32,"1,328",990
Class 318,SR,3,90,145,29,87,97,4,24,"1,438",1072
Class 319,TL,4,70,113,34,136,152,5,30,"1,438",1072
Class 319,NT,4,100,161,34,136,152,5,30,"1,438",1072
Class 319,LM,4,100,161,34,136,152,5,30,"1,438",1072
Class 320/3,SR,3,90,145,30,90,101,2.5,40,"1,438",1072
Class 321/3,LE,4,100,161,30,120,134,3,45,"1,438",1072
Class 321/4,LE,4,100,161,30,120,134,3,45,"1,438",1072
Class 321/4,LM,4,100,161,30,120,134,3,45,"1,438",1072
Class 321/4,GN,4,100,161,30,120,134,3,45,"1,438",1072
Class 321/4,NT,4,100,161,30,120,134,3,45,"1,438",1072
Class 322,NT,4,100,161,29,116,130,3,43,"1,438",1072
Class 323,LM,3,90,145,40,120,134,2,67,"1,566",1168
Class 323,NT,3,90,145,40,120,134,2,67,"1,566",1168
Class 325,ZZ,4,100,161,32,128,143,2,72,"1,438",1072
Class 331/0,NT,3,100,161,31,93,104,1.16,90,"1,046",780
Class 331/1,NT,4,100,161,31,124,139,1.5,93,"1,569",1170
Class 332,HX,4,100,161,45,180,202,3,67,"1,877",1400
Class 332,HX,5,100,161,45,225,252,3,84,"1,877",1400
Class 333,NT,4,100,161,47,188,211,3,70,"1,877",1400
Class 334,SR,3,90,145,41,123,138,2,69,"1,448",1080
Class 345,XR,9,90,145,29,261,292,1.5,195,"2,250",1678
Class 350/1,LM,4,110,177,45,180,202,2.5,81,"1,341",1000
Class 350/2,LM,4,100,161,45,180,202,2.5,81,"1,341",1000
Class 350/3,LM,4,100,161,45,180,202,2.5,81,"1,341",1000
Class 350/4,TP,4,100,161,45,180,202,2.5,81,"1,341",1000
Class 357,CC,4,100,161,35,140,157,2.5,63,"2,010",1499
Class 360/1,LE,4,100,161,37,148,166,2.5,66,"1,341",1000
Class 360/5,XR,5,100,161,37,185,207,2.5,83,"1,341",1000
Class 365,GN,4,100,161,34,136,152,2,76,"1,256",937
Class 373,ES,16,186,299,45,720,806,5,161,"16,400",12229
Class 373,ES,20,186,299,45,900,1008,5,202,"16,400",12229
